name,hex,oklch,xterm
Kachi,#08192d,oklch(21.09% 0.046 253.82),234
Kon,#0f2540,oklch(26.22% 0.0581 254.79),235
Keshizumi,#434343,oklch(38.29% 0 0),238
Nibi,#656765,oklch(51.14% 0.004 145.52),241
Hai,#828282,oklch(60.66% 0 0),244
Ginnezumi,#91989f,oklch(67.62% 0.0131 248.02),246
Shironezumi,#bdc0ba,oklch(80.37% 0.0089 128.58),250
Shironeri,#fcfaf2,oklch(98.44% 0.0108 95.16),231
Nakabeni,#db4d6d,oklch(62.15% 0.1778 10.39),167
Kurenai,#cb1b45,oklch(54.41% 0.2046 16.02),160
Mizuasagi,#66bab7,oklch(73.53% 0.0821 192.5),073
Seiheki,#268785,oklch(56.9% 0.0866 192.96),030
Tsuyukusa,#2ea9df,oklch(69.33% 0.1296 232.72),038
Ruri,#005caf,oklch(47.8% 0.1513 253.85),025
Wasurenagusa,#7db9de,oklch(75.84% 0.0817 236.41),075
Chigusa,#3a8fb7,oklch(61.57% 0.1007 232.18),032
Momo,#f596aa,oklch(77.6% 0.116 6.5),211
Tsutsuji,#e03c8a,oklch(62.12% 0.2095 356.23),198
Hanaba,#f7c242,oklch(84.01% 0.1507 85.27),221
Chojicha,#96632e,oklch(54.41% 0.0952 64.33),094

